Name,Links
Web Templates,https://www.w3schools.com//w3css/w3css_templates.asp
Web Statistics,https://www.w3schools.com//browsers/default.asp
Web Certificates,https://www.w3schools.com//cert/default.asp
Web Editor,https://www.w3schools.com//tryit/default.asp
Web Development,https://www.w3schools.com//whatis/default.asp
Test Your Typing Speed,https://www.w3schools.com//typingspeed/default.asp
Play a Code Game,https://www.w3schools.com//codegame/index.html
Cyber Security,https://www.w3schools.com//cybersecurity/index.php
HTML Tag Reference,https://www.w3schools.com//tags/default.asp
HTML Browser Support,https://www.w3schools.com//tags/ref_html_browsersupport.asp
HTML Event Reference,https://www.w3schools.com//tags/ref_eventattributes.asp
HTML Color Reference,https://www.w3schools.com//colors/default.asp
HTML Attribute Reference,https://www.w3schools.com//tags/ref_attributes.asp
HTML Canvas Reference,https://www.w3schools.com//tags/ref_canvas.asp
HTML SVG Reference,https://www.w3schools.com//graphics/svg_reference.asp
Google Maps Reference,https://www.w3schools.com//graphics/google_maps_reference.asp
CSS Reference,https://www.w3schools.com//cssref/default.asp
CSS Browser Support,https://www.w3schools.com//cssref/css3_browsersupport.asp
CSS Selector Reference,https://www.w3schools.com//cssref/css_selectors.asp
Bootstrap 3 Reference,https://www.w3schools.com//bootstrap/bootstrap_ref_all_classes.asp
Bootstrap 4 Reference,https://www.w3schools.com//bootstrap4/bootstrap_ref_all_classes.asp
W3.CSS Reference,https://www.w3schools.com//w3css/w3css_references.asp
Icon Reference,https://www.w3schools.com//icons/icons_reference.asp
Sass Reference,https://www.w3schools.com//sass/sass_functions_string.php
JavaScript Reference,https://www.w3schools.com//jsref/default.asp
HTML DOM Reference,https://www.w3schools.com//jsref/default.asp
jQuery Reference,https://www.w3schools.com//jquery/jquery_ref_overview.asp
AngularJS Reference,https://www.w3schools.com//angular/angular_ref_directives.asp
AppML Reference,https://www.w3schools.com//appml/appml_reference.asp
W3.JS Reference,https://www.w3schools.com//w3js/w3js_references.asp
Python Reference,https://www.w3schools.com//python/python_reference.asp
Java Reference,https://www.w3schools.com//java/java_ref_keywords.asp
SQL Reference,https://www.w3schools.com//sql/sql_ref_keywords.asp
MySQL Reference,https://www.w3schools.com//mysql/mysql_ref_functions.asp
PHP Reference,https://www.w3schools.com//php/php_ref_overview.asp
ASP Reference,https://www.w3schools.com//asp/asp_ref_response.asp
XML DOM Reference,https://www.w3schools.com//xml/dom_nodetype.asp
XML Http Reference,https://www.w3schools.com//xml/dom_http.asp
XSLT Reference,https://www.w3schools.com//xml/xsl_elementref.asp
XML Schema Reference,https://www.w3schools.com//xml/schema_elements_ref.asp
HTML Character Sets,https://www.w3schools.com//charsets/default.asp
HTML ASCII,https://www.w3schools.com//charsets/ref_html_ascii.asp
HTML ANSI,https://www.w3schools.com//charsets/ref_html_ansi.asp
HTML Windows-1252,https://www.w3schools.com//charsets/ref_html_ansi.asp
HTML ISO-8859-1,https://www.w3schools.com//charsets/ref_html_8859.asp
HTML Symbols,https://www.w3schools.com//charsets/ref_html_symbols.asp
HTML UTF-8,https://www.w3schools.com//charsets/ref_html_utf8.asp
